scenario,z_s,chi_Mpc,sigma0,r,d,sigma_res,ell_Mpc,z_slip,slip_loc,N_pat,sqrtN,RMS_path,DESI_res_OK,boost
Sorkin,0.5,1951.387,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.3,2.3311943739560583e-61,1.9513869864490712e+43,1000000.0,2.3311943739560582e-55,True,1000000.0
NP-A,0.5,1951.387,1e-05,0.0,3,1e-05,2.064559830050636,0.3,1.9796114470670686e-05,945.1830642278896,30.743829693580622,0.0006086083718809265,True,30.743829693580622
NP-B,0.5,1951.387,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.3,0.0001988077940681529,1500.3845904578782,38.734798185325275,0.00770077978089961,True,38.734798185325275
DESI_ceil,0.5,1951.387,0.00015,0.0,3,0.00015,12.557069918314655,0.3,0.00029694171706006026,155.4014590300996,12.466012154257657,0.0037016790539768493,True,12.466012154257657
Sorkin,1.0,3401.263,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.3,2.3311943739560583e-61,3.4012629306209203e+43,1000000.0,2.3311943739560582e-55,True,1000000.0
Sorkin,1.0,3401.263,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.5,1.5175211969130252e-61,3.4012629306209203e+43,1000000.0,1.5175211969130253e-55,True,1000000.0
Sorkin,1.0,3401.263,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.8,8.78195137102445e-62,3.4012629306209203e+43,1000000.0,8.78195137102445e-56,True,1000000.0
NP-A,1.0,3401.263,1e-05,0.0,3,1e-05,2.064559830050636,0.3,1.9796114470670686e-05,1647.4518592844558,40.588814460198954,0.0008035008172829121,True,40.588814460198954
NP-A,1.0,3401.263,1e-05,0.0,3,1e-05,2.064559830050636,0.5,1.2886537330981777e-05,1647.4518592844558,40.588814460198954,0.0005230492727616468,True,40.588814460198954
NP-A,1.0,3401.263,1e-05,0.0,3,1e-05,2.064559830050636,0.8,7.4574868813551934e-06,1647.4518592844558,40.588814460198954,0.00030269055136669367,True,40.588814460198954
NP-B,1.0,3401.263,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.3,0.0001988077940681529,2615.166814495111,51.13870172868207,0.010166772482188521,True,51.13870172868207
NP-B,1.0,3401.263,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.5,0.00012941651068673537,2615.166814495111,51.13870172868207,0.006618192338775756,True,51.13870172868207
NP-B,1.0,3401.263,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.8,7.48938140548237e-05,2615.166814495111,51.13870172868207,0.0038299724182730066,True,51.13870172868207
DESI_ceil,1.0,3401.263,0.00015,0.0,3,0.00015,12.557069918314655,0.3,0.00029694171706006026,270.8643778163672,16.457957887185373,0.004887054274322986,True,16.457957887185373
